Gene,logFC,NegativeLogPValue
Ccr5,0.99477655,0.00048809897
Fap,0.5822249,0.0004883166
Adra2a,0.77971506,0.00048937043
Hist1h1e,0.59028995,0.00049315224
Ccdc188,-0.9833687,0.0005099372
Bgn,0.64611214,0.00051051565
Serpind1,0.52932125,0.0005170446
Tspan11,1.482969,0.0005197863
Eno3,2.605658,0.0005285363
Lvrn,-1.0101129,0.00052965165
Pygm,2.6642952,0.0005300323
Rap2a,0.57075655,0.0005355368
Cebpb,-1.094403,0.0005377616
St6gal1,0.54624045,0.0005400016
Cdh6,1.274085,0.0005475654
Bcl6,-0.5578573,0.0005475735
Hbb-bt,-1.6544044,0.000548422
Gm10825,1.2767401,0.00055695674
Ctsk,0.8094671,0.0005599085
Tcp11,-1.1515181,0.000562622
Cpxm1,-0.52447057,0.0005633402
Ftx,-0.52992105,0.0005783927
Pisd,0.4902725,0.0005883103
Angpt2,-1.0849167,0.00059684715
Dmac1,0.7445618,0.0005989072
Plcxd2,0.88256186,0.0006006046
Lhpp,0.72730684,0.0006017496
Kdr,0.60964394,0.0006058674
Gm2830,-0.8222995,0.00060599117
Nrap,3.526277,0.0006060144
Klf15,-0.8926476,0.0006165709
Stk32b,-1.2680763,0.00061713345
H3f3a-ps2,1.03456,0.00062229024
Amt,-0.60949147,0.0006229156
Per1,-0.94657606,0.00062439474
Mal,0.59224224,0.00063141086
Hist1h1c,0.58709353,0.00063220924
Lman1l,1.0095376,0.0006437624
Sntg1,-0.90805984,0.0006508575
Inha,1.0275323,0.0006567978
Plekhb2,-0.4742559,0.00066321366
Dnaaf2,2.5072002,0.0006663183
Ptprn2,-1.4135668,0.0006739381
Gm10419,-1.5438739,0.0006742062
Ttll1,0.7782023,0.00069130596
Sfrp1,0.79406846,0.0006949657
Epyc,0.98321027,0.0007013948
Kcnk4,-1.489658,0.0007049912
Scarb1,0.49854723,0.00070640875
Edil3,-0.65778315,0.00070857926
Meox1,1.2056389,0.00070968404
Clcn5,0.84049004,0.00071586337
Lrrn1,1.1377228,0.0007213646
Fcgr1,1.0545871,0.000737995
Sfrp2,2.2216876,0.00073886325
Cers2,0.5391852,0.00074801035
Maff,-1.2863507,0.0007641957
Gm12200,1.3247125,0.00076520856
Nr4a1,-1.0307301,0.0007657564
Mgat5b,1.3161393,0.0007739152
Marcksl1,0.493444,0.0007923575
Slc6a1,-0.7905425,0.00080013607
Mcm7,-0.5642177,0.0008131724
Eif2s3x,-0.54017544,0.0008155251
Arhgef37,-0.5906824,0.0008174657
Gm10654,-1.2413479,0.00082396006
Cit,0.9446652,0.0008293069
E2f8,1.5600637,0.0008570975
Lpcat3,0.61419815,0.0008596639
Crebrf,-0.5234552,0.00086188444
Gsta3,-0.6517529,0.0008666832
Fuca2,0.63065064,0.00086815766
Itih2,1.0511682,0.0008718461
Mir5099,-1.0067582,0.0008827474
Gm15949,-0.6427092,0.0008872358
Fcrls,0.8056731,0.0008927682
Ggta1,-0.4696774,0.0008933643
Zdhhc9,0.48825124,0.0009026205
Aff1,-0.6695405,0.0009058321
Xdh,-0.8918669,0.0009062171
Tigar,0.9345032,0.00090746937
Fmn1,-0.911453,0.00090755214
Jun,-0.61726445,0.00090778165
Gm6781,0.95221436,0.00091495435
Cables1,-0.63560796,0.00092367886
Lrrc8a,-0.7118988,0.00095519604
Runx2,-0.6595947,0.00096710573
Ctnnal1,0.63970596,0.0009687286
Itih5,0.55337614,0.0009699886
Rap1gap,-0.96712905,0.0009700208
Cnn2,0.45642674,0.0009776091
Igfn1,-1.9341921,0.0009884709
Gal3st1,0.5467291,0.000990299
Me3,-0.500886,0.0009976492
Adgb,0.52431947,0.0010035101
Edn1,-0.6158362,0.0010139052
Spsb1,-0.8622599,0.0010204507
Gm15948,-0.5037755,0.0010244825
Pigq,0.51189214,0.0010284205
Cplx1,-0.763673,0.0010436253
Fabp5,0.7119537,0.0010489039
Rpusd3,-0.6952408,0.001049534
P4ha2,-0.69306916,0.0010495641
Pde6d,0.4682984,0.0010499405
Arrdc2,-1.4638438,0.0010526091
Srpx,0.49115518,0.0010604906
Srpx2,1.0790384,0.0010634187
Aplnr,1.1257106,0.0010639854
Fxyd2,-0.8495408,0.0010657675
Chgb,-1.277614,0.0010687727
Pgam2,2.5261314,0.0010691332
S1pr1,-0.8371125,0.001069171
Gpr17,-0.51357967,0.0010725602
Spint1,0.64194196,0.0010735577
Gm13394,1.2230759,0.0010840959
Klf9,-1.0363615,0.0010873568
Slc35c2,0.49899808,0.0010902568
Gm16576,-0.67770946,0.0010946172
Mdm1,-0.52782786,0.0011069444
Rnd2,-0.5693385,0.0011179943
Grip2,0.94385344,0.0011213031
Pf4,1.0689355,0.0011252841
Cacna1a,0.7029076,0.0011284426
Ahdc1,-0.69225305,0.0011322752
Scamp5,0.5003173,0.001135673
Ifit1bl2,-0.8250501,0.0011356837
Casp4,-0.6467554,0.0011505999
Hbb-bs,-1.3263279,0.0011790656
Hbb-bs,-1.3263279,0.0011791986
Nek7,-0.63174504,0.0011807517
Ip6k2,-0.8504514,0.0011871137
Avil,-1.0823045,0.0011889373
Pabpc4l,1.1114593,0.001214142
Pls1,-0.8477085,0.0012197051
Serpinh1,0.59655976,0.0012433649
Bcl2l1,-0.7576617,0.0012455896
Pcyt2,0.511612,0.0012550006
Farp1,0.501295,0.0012574239
Mllt3,-0.5067753,0.001282027
Pik3r3,0.7408108,0.0012868682
Ppp1r26,0.4755334,0.0012950094
Gm22935,1.3870567,0.001300298
Dok2,0.67214024,0.0013057581
Sox5,0.6521224,0.0013098051
Rabgef1,-0.5261934,0.0013103087
Prkcq,0.5540001,0.0013195524
H19,0.92423743,0.001324648
Gm18981,1.300913,0.0013250398
Rimbp2,0.7594794,0.0013324919
Pcolce,0.5210145,0.001338552
Adamts4,1.021962,0.0013545703
Rnf145,0.49860626,0.0013573704
Ly6g6f,1.336135,0.0013935803
Rundc3a,0.6231442,0.0013941374
Mrc2,0.5132051,0.0013985906
Rnpc3,-0.45915732,0.0014009112
Sptlc2,0.5254046,0.0014016387
Sowahc,0.45554522,0.0014075288
Galm,-0.7246302,0.0014093574
1700017B05Rik,-0.6319915,0.0014097587
Nim1k,0.7169578,0.0014128778
Erg28,0.4766486,0.0014164904
Itpr3os,-0.9893095,0.0014214237
Slc25a13,0.5708372,0.0014222045
Casq1,1.4256696,0.0014346603
Sema3e,-0.54687387,0.0014415464
Ccdc33,1.2412703,0.0014427811
Acly,0.64284104,0.0014499855
Myof,-0.4637675,0.0014691962
Sptbn4,-1.368117,0.0014756989
Fbn1,0.5578208,0.0014821528
Aox3,-0.7390308,0.0014825461
P3h2,-0.51112676,0.0014927114
Trib2,0.5996934,0.0014928676
F730043M19Rik,-0.6661441,0.001505774
Tiam1,0.49656698,0.0015186194
Gramd2,0.7662652,0.0015195635
Ranbp9,-0.85998976,0.0015268996
Adra1b,1.3304522,0.001534338
Bok,-1.4468088,0.0015522917
Fkbp5,-1.7110482,0.001557169
A830052D11Rik,1.2221359,0.0015604086
Mrpl58,0.47371483,0.001562318
Pts,0.75137794,0.001564989
Vps36,0.50570095,0.0015691101
Gpc6,0.5884091,0.0015702274
Prelid3a,-0.72900486,0.0015809855
Adgrg2,-1.000704,0.0015832006
B4galnt3,1.0566466,0.0016257603
Isg20,-1.0319912,0.0016320013
H2-Q10,-1.1738676,0.0016356416
Nol4,-1.0474862,0.0016446155
Sap18b,0.92129177,0.0016491605
2810029C07Rik,-1.1544474,0.0016554103
Mir5110,-1.152576,0.0016643441
D330045A20Rik,0.69626427,0.0016722599
Gpr180,0.512951,0.0016890283
Efemp1,-0.4473261,0.0017029174
Col4a1,0.5297756,0.0017050129
Fgfrl1,0.47900847,0.0017115072
Rundc1,-0.4889968,0.0017238095
Cpne7,-1.3182232,0.0017312393
Car7,-0.80912906,0.001739382
Trib1,-0.9799634,0.0017489428
Cilp2,0.89693165,0.0017556807
Rufy4,-1.0066037,0.0017687703
9330159F19Rik,-0.6818224,0.0017874531
Mmp16,0.8231801,0.001792459
Pdpn,0.52986175,0.0017958962
Gm8163,1.252697,0.0017976579
Mfsd14a,0.4343088,0.0017982225
Tmem59l,-1.1255084,0.0017984415
Taf8,-0.5584342,0.0018146104
Kdelc2,0.5021025,0.0018300612
Teddm2,-0.80488104,0.0018407934
Gm12970,-1.2063289,0.0018436444
Tmem140,-0.557169,0.001845966
Cebpd,-0.99602544,0.0018556225
Batf3,-1.0320569,0.0018586254
Ror2,0.58601314,0.0018790617
Rab2a,0.5114741,0.00188098
Pnpla2,-0.5848426,0.0018927053
Cuedc2,0.48077115,0.0019083589
Rnf144a,-0.47669065,0.0019189102
Myom1,1.8775299,0.0019199997
Otud7b,-0.72726583,0.0019210891
Tob2,-0.65371805,0.0019253374
Serp1,0.4502079,0.0019618075
Glis3,-0.58247423,0.0019709074
Gpr37,1.0411242,0.0019945179
Irs2,-0.5797738,0.0019978397
Rhebl1,-0.6953276,0.0020084516
Lama4,0.5021093,0.0020093308
Abracl,1.0594774,0.0020189856
Zfand4,-0.8298444,0.0020499865
Slc2a13,0.6790413,0.0020604695
Slc43a3,-0.58314735,0.0020706137
Gm14443,-0.8512083,0.0020708113
Sik2,-0.44098163,0.002071222
Meg3,0.5653856,0.0020758116
Oplah,-0.4285293,0.0020762784
Ccdc42,1.2489734,0.002089111
Ppfia2,0.6900601,0.0021021522
Dscam,-1.1206124,0.0021084095
Resf1,-0.55154943,0.0021084556
Asic3,-0.86793786,0.0021248946
Sox12,0.46175307,0.002127536
2210408F21Rik,-0.7079438,0.0021491034
Adamts20,0.53422207,0.0021553035
Mpp7,-0.6329211,0.002155577
1110002E22Rik,2.880789,0.002161826
Igf1,0.7452223,0.002187797
Gm11769,-1.167001,0.0021884004
Col6a6,1.3974952,0.0021912688
Tox2,-0.6711511,0.0022094275
Lrrc3,0.76873887,0.002218745
Gm8410,-0.96935534,0.0022325513
